source,held_out_from_adaptation,gpu,model,n,correct,accuracy,wilson_low,wilson_high,nll
banking77,False,6000,base,100,68,0.68,0.5833738138954762,0.7633085267500092,1.2836852713827873
clinc150,False,6000,base,100,82,0.82,0.7333264161369926,0.8829977450105364,0.8229652972510506
ledgar,True,6000,base,100,66,0.66,0.5627772885472462,0.7453847920265184,1.2969727505837747
go_emotions,True,6000,base,100,26,0.26,0.18404698464748132,0.3537098944918718,3.1144273074126776
mmlu,False,6000,base,100,72,0.72,0.6251197129007884,0.7986031478881379,0.817268553941924
arc_challenge,True,6000,base,100,93,0.93,0.8625048526092651,0.9656807389327273,0.2523690894740095
mnli,True,6000,base,100,82,0.82,0.7333264161369926,0.8829977450105364,0.46630629350257197
sst5,True,6000,base,100,46,0.46,0.36560808309024106,0.5573513967663177,1.213481339405046
helpsteer2_helpfulness,False,6000,base,100,31,0.31,0.22779697212376038,0.40626055719489407,1.596406072156939
measuring_hate_speech,False,6000,base,100,44,0.44,0.34672026630160796,0.5377189534832302,1.196770865920863
boolq,True,6000,base,100,70,0.7,0.6041514536665332,0.7810511470506724,0.5969168292454934
fever_evidence,True,6000,base,100,78,0.78,0.6892964648501421,0.8499871761539459,0.4127694361062049
civil_comments,False,6000,base,100,90,0.9,0.8256343384950865,0.9447708629393249,0.2208479627520955
sms_spam,True,6000,base,100,97,0.97,0.9154806357094724,0.9897454759759611,0.11266700462821955
chaosnli,True,6000,base,100,57,0.57,0.47215389549212305,0.6626670147588988,0.9390215131091735
banking77,False,6000,adapter,100,72,0.72,0.6251197129007884,0.7986031478881379,0.8109359814102157
clinc150,False,6000,adapter,100,87,0.87,0.7901964855992357,0.9224283257275948,0.5061041848599175
ledgar,True,6000,adapter,100,71,0.71,0.6146110882442888,0.7898516425087772,1.125365509718165
go_emotions,True,6000,adapter,100,27,0.27,0.1926958414957634,0.36432116767944994,3.102776348374239
mmlu,False,6000,adapter,100,77,0.77,0.6784561697712622,0.8415673411969654,0.6899876823561162
arc_challenge,True,6000,adapter,100,95,0.95,0.8882495307680808,0.9784563208456319,0.14801123167267893
mnli,True,6000,adapter,100,88,0.88,0.8018790057328857,0.9300059356298052,0.33590499044899674
sst5,True,6000,adapter,100,49,0.49,0.3942199893044113,0.5865198806597283,0.9866398642149409
helpsteer2_helpfulness,False,6000,adapter,100,45,0.45,0.3561453797951198,0.5475539700255787,1.0807160455495899
measuring_hate_speech,False,6000,adapter,100,79,0.79,0.7002003116591013,0.858343459380847,0.5779676815239816
boolq,True,6000,adapter,100,90,0.9,0.8256343384950865,0.9447708629393249,0.32196363200952666
fever_evidence,True,6000,adapter,100,97,0.97,0.9154806357094724,0.9897454759759611,0.17627561303954806
civil_comments,False,6000,adapter,100,94,0.94,0.8752318455410406,0.9722138760368118,0.23131768259197938
sms_spam,True,6000,adapter,100,96,0.96,0.9016292856411208,0.9843366960084523,0.0995058680380136
chaosnli,True,6000,adapter,100,57,0.57,0.47215389549212305,0.6626670147588988,0.7588972175432551
banking77,False,4090,base,100,68,0.68,0.5833738138954762,0.7633085267500092,1.2839111976807749
clinc150,False,4090,base,100,82,0.82,0.7333264161369926,0.8829977450105364,0.8194665271107731
ledgar,True,4090,base,100,65,0.65,0.5525444329688796,0.7363575175690247,1.3024573703570617
go_emotions,True,4090,base,100,26,0.26,0.18404698464748132,0.3537098944918718,3.1141488510961755
mmlu,False,4090,base,100,72,0.72,0.6251197129007884,0.7986031478881379,0.8164020378275078
arc_challenge,True,4090,base,100,93,0.93,0.8625048526092651,0.9656807389327273,0.25307598093833694
mnli,True,4090,base,100,82,0.82,0.7333264161369926,0.8829977450105364,0.46640864041054925
sst5,True,4090,base,100,46,0.46,0.36560808309024106,0.5573513967663177,1.2123215222078085
helpsteer2_helpfulness,False,4090,base,100,32,0.32,0.23669147324999093,0.41662618610452384,1.5982823277604774
measuring_hate_speech,False,4090,base,100,44,0.44,0.34672026630160796,0.5377189534832302,1.1959181162846806
boolq,True,4090,base,100,71,0.71,0.6146110882442888,0.7898516425087772,0.5947301974512086
fever_evidence,True,4090,base,100,79,0.79,0.7002003116591013,0.858343459380847,0.415041822615853
civil_comments,False,4090,base,100,90,0.9,0.8256343384950865,0.9447708629393249,0.22158590943334958
sms_spam,True,4090,base,100,97,0.97,0.9154806357094724,0.9897454759759611,0.11284661298127549
chaosnli,True,4090,base,100,57,0.57,0.47215389549212305,0.6626670147588988,0.9393092828332271
banking77,False,4090,adapter,100,72,0.72,0.6251197129007884,0.7986031478881379,0.8231942661054884
clinc150,False,4090,adapter,100,87,0.87,0.7901964855992357,0.9224283257275948,0.5049818177192235
ledgar,True,4090,adapter,100,71,0.71,0.6146110882442888,0.7898516425087772,1.125594450030665
go_emotions,True,4090,adapter,100,27,0.27,0.1926958414957634,0.36432116767944994,3.1023447297755524
mmlu,False,4090,adapter,100,77,0.77,0.6784561697712622,0.8415673411969654,0.688688797656081
arc_challenge,True,4090,adapter,100,95,0.95,0.8882495307680808,0.9784563208456319,0.14782166834511387
mnli,True,4090,adapter,100,88,0.88,0.8018790057328857,0.9300059356298052,0.3348235814426267
sst5,True,4090,adapter,100,48,0.48,0.384645517580519,0.5768342223477603,0.9866775949885758
helpsteer2_helpfulness,False,4090,adapter,100,45,0.45,0.3561453797951198,0.5475539700255787,1.0799103686889326
